name,tournaments,rating
Guitarplaya,1,2125
gusish,1,1336
H_Badorties,1,2185
h_lector,1,1946
hacker29,1,2260
hairbeRt ,1,1958
hakonj,1,1697
HalfRight,1,2103
HandKnit,1,2235
Hattilla,1,1740
Hausierer,1,2135
hawkins89,1,2087
headisbagent,1,2080
Heidman,1,1650
Hewkn,1,1679
Hibernicus,1,2002
highphive,1,1315
HighSilence,1,1721
hill_j,1,1430
hillrp ,1,1693
Hitzkopf87,1,1540
Hkivrak,1,1690
HoolyDuck,1,1653
hyge,1,2000
Hyzer,1,2023
I_Will_Win,1,2272
Iamsostupid,1,1871
IanCawood,1,1799
ianjf,1,1757
ianjf ,1,1852
ianremsen,1,1632
ihideonbush,1,2278
IHugoStiglitz,1,1744
ImBadGoEasy,1,1727
Immortality ,1,1779
imperatorealev,1,1438
infested,1,1865
InfiniteFlash,1,2174
Injektilo,1,1772
iongler,1,2159
Ionsaitheoir,1,1380
iqp,1,1578
Isachess ,1,1930
itsblundertown,1,1297
IzoRyu,1,1939
j7barbs,1,1761
Jacarandat,1,1837
jagvillspelaschack,1,1705
jajandio,1,1492
jakake,1,1798
JAKEPETERS,1,1385
Jakobks,1,1868
jamboger,1,1264
JamesShumway,1,1635
jaunte,1,1822
javi0111,1,1691
JBGIII,1,1733
jervaelski,1,1407
jfarah,1,2083
Jfayne,1,2252
jfiquett,1,2000
Jin_ch,1,2090
JJPlayz,1,1826
Jlustig555,1,1804
jmaltby,1,1964
Jobwoge,1,1715
joebech,1,1593
john465,1,1552
JohnFrancis,1,1852
Jonathan_DALLEAU ,1,1681
Jonathancoffin,1,1775
Jorjor5379,1,1603
josh789,1,2183
jpokerflat,1,1743
JPTriton ,1,2230
JRiu,1,2044
JTate,1,1790
Jubka,1,1423
jughandle10 ,1,1871
jwwells42,1,1868
Jyr ,1,1939
kamekura,1,1476
Kampfwagenkanone,1,1996
kanakaishou,1,1645
kanake,1,1826
karatugo,1,1770
Karpovian ,1,1997
Karrotspls,1,2262
kenzaburo,1,2117
Keresch,1,1913
kevinlara,1,1435
Khidal ,1,1630
kilichimonger,1,1914
king_me_wing,1,1983
kip1981,1,1898
kirschwasser ,1,1822
Kjar ,1,2063
kjfoster17 ,1,1854
klod42,1,2027
KMisener,1,1674
knassery,1,1662
KnightyKnight1996,1,2103
kolnikov,1,1689
kponds,1,1673
kponds ,1,1659
krischan,1,1719
krisolis,1,1960
kristian17,1,1473
Krsto ,1,2059
Kryyc,1,1798
KSops,1,1702
Lake,1,1807
LambdaC,1,1235
Landmoose,1,1891
Lanoc,1,1968
Lapa87,1,1890
LarsenB,1,2075
Lasse_S,1,2106
Lateon,1,1680
lbringer,1,1738
Le_charpentier,1,1858
LeDarkKnight,1,1874
LegalRebellion,1,1959
LemuelGullible,1,1704
LemuelGullible ,1,1735
leobkho,1,1899
LeoLegend,1,1988
Leonova,1,2056
Lethgo ,1,1752
LevriatSoulEdge ,1,1883
LikesTal,1,1890
LikesTal ,1,1874
linail ,1,2235
Little_Dead_Bertha,1,2209
lolitsreality,1,1540
LordHW4,1,1765
loukas435,1,1758
lpd2,1,1681
Lrdwhyt,1,1550
lrish,1,2003
